month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-01,Bronx,EXP,All,Off-Peak,"23,377,505","321,503,299.2",13.752678021
2015-01,Bronx,EXP,All,Peak,"20,199,673","235,794,636",11.6731907492
2015-01,Bronx,LCL/LTD,All,Off-Peak,"229,617,229","1,669,828,528.8",7.27222663592
2015-01,Bronx,LCL/LTD,All,Peak,"120,918,538","794,577,502.8",6.57118020067
2015-01,Bronx,SBS,All,Off-Peak,"14,892,618","145,280,988",9.75523497615
2015-01,Bronx,SBS,All,Peak,"8,365,897","73,966,341.6",8.84141193706
2015-01,Brooklyn,EXP,All,Off-Peak,"8,822,388","118,169,593.2",13.3942865809
2015-01,Brooklyn,EXP,All,Peak,"10,116,757","126,705,538.8",12.5243236345
2015-01,Brooklyn,LCL/LTD,All,Off-Peak,"359,370,297","2,672,619,073.2",7.43695039771
2015-01,Brooklyn,LCL/LTD,All,Peak,"185,443,059","1,225,439,665.2",6.60817218939
2015-01,Brooklyn,SBS,All,Off-Peak,"9,276,368","84,666,240",9.12708939533
2015-01,Brooklyn,SBS,All,Peak,"5,599,491","47,818,022.4",8.53970876996
2015-01,Manhattan,LCL/LTD,All,Off-Peak,"203,761,130","1,216,613,642.4",5.97078374271
2015-01,Manhattan,LCL/LTD,All,Peak,"103,735,521","560,559,290.4",5.40373523935
2015-01,Manhattan,SBS,All,Off-Peak,"21,040,265","180,434,721.6",8.57568674159
2015-01,Manhattan,SBS,All,Peak,"10,694,690","81,449,888.4",7.61591859138
2015-01,Queens,EXP,All,Off-Peak,"6,826,482","97,430,533.2",14.2724368423
2015-01,Queens,EXP,All,Peak,"13,279,387","167,491,195.2",12.6128710007
2015-01,Queens,LCL/LTD,All,Off-Peak,"369,625,054","3,485,005,034.4",9.42848704839
2015-01,Queens,LCL/LTD,All,Peak,"200,485,387","1,693,481,263.2",8.44690622364
2015-01,Staten Island,EXP,All,Off-Peak,"27,557,820","479,435,090.4",17.3974244117
2015-01,Staten Island,EXP,All,Peak,"26,407,005","431,023,726.8",16.3223253375
2015-01,Staten Island,LCL/LTD,All,Off-Peak,"48,248,239","587,041,826.4",12.1671140453
2015-01,Staten Island,LCL/LTD,All,Peak,"25,862,857","302,808,452.4",11.708236735
2015-01,Staten Island,SBS,All,Off-Peak,"8,299,001","128,142,309.6",15.4406909458
2015-01,Staten Island,SBS,All,Peak,"5,149,806","76,708,548",14.8954247985
2015-02,Bronx,EXP,All,Off-Peak,"23,743,458","309,575,188.8",13.0383362356
2015-02,Bronx,EXP,All,Peak,"20,060,691","219,833,269.2",10.9584096181
2015-02,Bronx,LCL/LTD,All,Off-Peak,"219,759,479","1,567,144,922.4",7.13118237052
2015-02,Bronx,LCL/LTD,All,Peak,"113,175,196","720,080,247.6",6.36252706468
2015-02,Bronx,SBS,All,Off-Peak,"13,254,101","123,687,835.2",9.33204260327
2015-02,Bronx,SBS,All,Peak,"7,003,681","58,691,088",8.38003444189
2015-02,Brooklyn,EXP,All,Off-Peak,"8,674,500","113,035,777.2",13.0308118278
2015-02,Brooklyn,EXP,All,Peak,"9,797,497","117,139,186.8",11.956031913
2015-02,Brooklyn,LCL/LTD,All,Off-Peak,"345,088,100","2,522,739,337.2",7.31042112782
2015-02,Brooklyn,LCL/LTD,All,Peak,"173,498,059","1,116,950,356.8",6.43782623989
2015-02,Brooklyn,SBS,All,Off-Peak,"8,707,937","77,880,531.6",8.94362598168
2015-02,Brooklyn,SBS,All,Peak,"5,202,562","43,314,681.6",8.32564448055
2015-02,Manhattan,LCL/LTD,All,Off-Peak,"189,766,930","1,111,634,442",5.85789337478
2015-02,Manhattan,LCL/LTD,All,Peak,"97,072,475","508,498,390.8",5.23833754934
2015-02,Manhattan,SBS,All,Off-Peak,"19,121,095","159,558,433.2",8.34462844309
2015-02,Manhattan,SBS,All,Peak,"9,480,584","69,224,576.4",7.30172069569
2015-02,Queens,EXP,All,Off-Peak,"7,567,225","105,723,280.8",13.9712088381
2015-02,Queens,EXP,All,Peak,"14,386,146","174,227,086.8",12.1107548054
2015-02,Queens,LCL/LTD,All,Off-Peak,"363,748,362","3,374,112,679.2",9.27595291604
2015-02,Queens,LCL/LTD,All,Peak,"191,403,145","1,568,436,908.4",8.19441555362
2015-02,Staten Island,EXP,All,Off-Peak,"28,817,244","482,895,284.4",16.757164023
